DPU,reduction_network,dataflow,mrr_area,adc_area,dac_area,rn_area,cache_area,total_area
AMM,S_Tree,IS,12.244241882599999,42.532000000000004,2636.984,1.6856e-05,166.3279,2858.0881587386
AMM,S_Tree,WS,12.244241882599999,42.532000000000004,2636.984,1.6856e-05,166.3279,2858.0881587386
AMM,S_Tree,OS,12.244241882599999,42.532000000000004,2636.984,1.6856e-05,166.3279,2858.0881587386
AMM,ST_Tree_Ac,IS,12.244241882599999,42.532000000000004,2636.984,3.136e-05,166.3279,2858.0881732425996
AMM,ST_Tree_Ac,WS,12.244241882599999,42.532000000000004,2636.984,3.136e-05,166.3279,2858.0881732425996
AMM,ST_Tree_Ac,OS,12.244241882599999,42.532000000000004,2636.984,3.136e-05,166.3279,2858.0881732425996
AMM,STIFT,IS,12.244241882599999,42.532000000000004,2636.984,2.6754e-05,166.3279,2858.0881686366
AMM,STIFT,WS,12.244241882599999,42.532000000000004,2636.984,2.6754e-05,166.3279,2858.0881686366
AMM,STIFT,OS,12.244241882599999,42.532000000000004,2636.984,2.6754e-05,166.3279,2858.0881686366
AMM,PCA,IS,12.244241882599999,42.532000000000004,2636.984,0.0,166.3279,2858.0881418826
AMM,PCA,WS,12.244241882599999,42.532000000000004,2636.984,0.0,166.3279,2858.0881418826
AMM,PCA,OS,12.244241882599999,42.532000000000004,2636.984,0.0,166.3279,2858.0881418826
MAM,S_Tree,IS,6.43557915,30.8,1386.0,8.6e-06,158.1415,1581.3770877499999
MAM,S_Tree,WS,6.43557915,30.8,1386.0,8.6e-06,158.1415,1581.3770877499999
MAM,S_Tree,OS,6.43557915,30.8,1386.0,8.6e-06,158.1415,1581.3770877499999
MAM,ST_Tree_Ac,IS,6.43557915,30.8,1386.0,1.6e-05,158.1415,1581.3770951499998
MAM,ST_Tree_Ac,WS,6.43557915,30.8,1386.0,1.6e-05,158.1415,1581.3770951499998
MAM,ST_Tree_Ac,OS,6.43557915,30.8,1386.0,1.6e-05,158.1415,1581.3770951499998
MAM,STIFT,IS,6.43557915,30.8,1386.0,1.3650000000000001e-05,158.1415,1581.3770928
MAM,STIFT,WS,6.43557915,30.8,1386.0,1.3650000000000001e-05,158.1415,1581.3770928
MAM,STIFT,OS,6.43557915,30.8,1386.0,1.3650000000000001e-05,158.1415,1581.3770928
MAM,PCA,IS,6.43557915,30.8,1386.0,0.0,158.1415,1581.3770791499999
MAM,PCA,WS,6.43557915,30.8,1386.0,0.0,158.1415,1581.3770791499999
MAM,PCA,OS,6.43557915,30.8,1386.0,0.0,158.1415,1581.3770791499999
AMM,S_Tree,RIS,12.244241882599999,42.532000000000004,2636.984,1.6856e-05,166.3279,2858.0881587386
AMM,S_Tree,RWS,12.244241882599999,42.532000000000004,2636.984,1.6856e-05,166.3279,2858.0881587386
AMM,S_Tree,ROS,12.244241882599999,42.532000000000004,2636.984,1.6856e-05,166.3279,2858.0881587386
AMM,ST_Tree_Ac,RIS,12.244241882599999,42.532000000000004,2636.984,3.136e-05,166.3279,2858.0881732425996
AMM,ST_Tree_Ac,RWS,12.244241882599999,42.532000000000004,2636.984,3.136e-05,166.3279,2858.0881732425996
AMM,ST_Tree_Ac,ROS,12.244241882599999,42.532000000000004,2636.984,3.136e-05,166.3279,2858.0881732425996
AMM,STIFT,RIS,12.244241882599999,42.532000000000004,2636.984,2.6754e-05,166.3279,2858.0881686366
AMM,STIFT,RWS,12.244241882599999,42.532000000000004,2636.984,2.6754e-05,166.3279,2858.0881686366
AMM,STIFT,ROS,12.244241882599999,42.532000000000004,2636.984,2.6754e-05,166.3279,2858.0881686366
AMM,PCA,RIS,12.244241882599999,42.532000000000004,2636.984,0.0,166.3279,2858.0881418826
AMM,PCA,RWS,12.244241882599999,42.532000000000004,2636.984,0.0,166.3279,2858.0881418826
AMM,PCA,ROS,12.244241882599999,42.532000000000004,2636.984,0.0,166.3279,2858.0881418826
MAM,S_Tree,RIS,6.43557915,30.8,1386.0,8.6e-06,158.1415,1581.3770877499999
MAM,S_Tree,RWS,6.43557915,30.8,1386.0,8.6e-06,158.1415,1581.3770877499999
MAM,S_Tree,ROS,6.43557915,30.8,1386.0,8.6e-06,158.1415,1581.3770877499999
MAM,ST_Tree_Ac,RIS,6.43557915,30.8,1386.0,1.6e-05,158.1415,1581.3770951499998
MAM,ST_Tree_Ac,RWS,6.43557915,30.8,1386.0,1.6e-05,158.1415,1581.3770951499998
MAM,ST_Tree_Ac,ROS,6.43557915,30.8,1386.0,1.6e-05,158.1415,1581.3770951499998
MAM,STIFT,RIS,6.43557915,30.8,1386.0,1.3650000000000001e-05,158.1415,1581.3770928
MAM,STIFT,RWS,6.43557915,30.8,1386.0,1.3650000000000001e-05,158.1415,1581.3770928
MAM,STIFT,ROS,6.43557915,30.8,1386.0,1.3650000000000001e-05,158.1415,1581.3770928
MAM,PCA,RIS,6.43557915,30.8,1386.0,0.0,158.1415,1581.3770791499999
MAM,PCA,RWS,6.43557915,30.8,1386.0,0.0,158.1415,1581.3770791499999
MAM,PCA,ROS,6.43557915,30.8,1386.0,0.0,158.1415,1581.3770791499999
