DPU,reduction_network,dataflow,cluster_count,psum_access_counter,input_access_counter,weight_access_counter,output_access_counter,total_access,used_mrr_counter,unused_mrr_counter,mrr_utilization
AMM,S_Tree,RIS,1,25260528,23644760,3735099460,9584937,3793589685,7470198920,14354897272,0.342275647
AMM,S_Tree,RIS,2,32836744,23644760,1872563512,9584937,1938629953,5607662972,8577810436,0.395310245
AMM,S_Tree,RIS,4,47107352,23644760,936281756,9584937,1016618805,4671381216,5503806816,0.459095321
AMM,S_Tree,RIS,8,82528784,23644760,473154660,9584937,588913141,4208254120,4704854552,0.472142131
AMM,S_Tree,RIS,16,152440256,23644760,241595208,9584937,427265161,3976694668,4255079156,0.483090857
AMM,S_Tree,RIS,32,295820736,23644760,120950628,9584937,450001061,3856050088,4131109784,0.482781132
AMM,S_Tree,RWS,1,25260528,3735099460,14358817,9584937,3784303742,7470198920,14354897272,0.342275647
AMM,S_Tree,RWS,2,32833288,1871045432,14358817,9584937,1927822474,5606144892,8577835524,0.395244827
AMM,S_Tree,RWS,4,47111320,935525404,14358817,9584937,1006580478,4670624864,5505420256,0.458982327
AMM,S_Tree,RWS,8,82321808,471258404,14358817,9584937,577523966,4206357864,4684397400,0.473115921
AMM,S_Tree,RWS,16,151180608,239198632,14358817,9584937,414322994,3974298092,4189454740,0.486822442
AMM,S_Tree,RWS,32,293830976,119954484,14358817,9584937,437729214,3855053944,4078382408,0.485924859
AMM,S_Tree,ROS,1,25260528,3735099460,44229185,9584937,3814174110,7470198920,14354897272,0.342275647
AMM,S_Tree,ROS,2,32833288,1871045432,44229185,9584937,1957692842,7470198920,6713781496,0.526664498
AMM,S_Tree,ROS,4,47111320,935525404,44229185,9584937,1036450846,7470198920,2705846200,0.734096482
AMM,S_Tree,ROS,8,82321808,471258404,44229185,9584937,607394334,7470198920,1420556344,0.84022096
AMM,S_Tree,ROS,16,151180608,239198632,44229185,9584937,444193362,7470198920,693553912,0.915044719
AMM,S_Tree,ROS,32,293830976,119954484,44229185,9584937,467599582,7470198920,463237432,0.941609485
AMM,ST_Tree_Ac,RIS,1,0,23644760,3735099460,9584937,3768329157,7470198920,14354897272,0.342275647
AMM,ST_Tree_Ac,RIS,2,32836744,23644760,1872563512,9584937,1938629953,5607662972,8577810436,0.395310245
AMM,ST_Tree_Ac,RIS,4,47107352,23644760,936281756,9584937,1016618805,4671381216,5503806816,0.459095321
AMM,ST_Tree_Ac,RIS,8,82528784,23644760,473154660,9584937,588913141,4208254120,4704854552,0.472142131
AMM,ST_Tree_Ac,RIS,16,152440256,23644760,241595208,9584937,427265161,3976694668,4255079156,0.483090857
AMM,ST_Tree_Ac,RIS,32,295820736,23644760,120950628,9584937,450001061,3856050088,4131109784,0.482781132
AMM,ST_Tree_Ac,RWS,1,0,3735099460,14358817,9584937,3759043214,7470198920,14354897272,0.342275647
AMM,ST_Tree_Ac,RWS,2,32833288,1871045432,14358817,9584937,1927822474,5606144892,8577835524,0.395244827
AMM,ST_Tree_Ac,RWS,4,47111320,935525404,14358817,9584937,1006580478,4670624864,5505420256,0.458982327
AMM,ST_Tree_Ac,RWS,8,82321808,471258404,14358817,9584937,577523966,4206357864,4684397400,0.473115921
AMM,ST_Tree_Ac,RWS,16,151180608,239198632,14358817,9584937,414322994,3974298092,4189454740,0.486822442
AMM,ST_Tree_Ac,RWS,32,293830976,119954484,14358817,9584937,437729214,3855053944,4078382408,0.485924859
AMM,ST_Tree_Ac,ROS,1,0,3735099460,44229185,9584937,3788913582,7470198920,14354897272,0.342275647
AMM,ST_Tree_Ac,ROS,2,0,1871045432,44229185,9584937,1924859554,7470198920,6713781496,0.526664498
AMM,ST_Tree_Ac,ROS,4,0,935525404,44229185,9584937,989339526,7470198920,2705846200,0.734096482
AMM,ST_Tree_Ac,ROS,8,0,471258404,44229185,9584937,525072526,7470198920,1420556344,0.84022096
AMM,ST_Tree_Ac,ROS,16,0,239198632,44229185,9584937,293012754,7470198920,693553912,0.915044719
AMM,ST_Tree_Ac,ROS,32,0,119954484,44229185,9584937,173768606,7470198920,463237432,0.941609485
AMM,STIFT,RIS,1,0,23644760,3735099460,9584937,3768329157,7470198920,14354897272,0.342275647
AMM,STIFT,RIS,2,32836744,23644760,1872563512,9584937,1938629953,5607662972,8577810436,0.395310245
AMM,STIFT,RIS,4,47107352,23644760,936281756,9584937,1016618805,4671381216,5503806816,0.459095321
AMM,STIFT,RIS,8,82528784,23644760,473154660,9584937,588913141,4208254120,4704854552,0.472142131
AMM,STIFT,RIS,16,152440256,23644760,241595208,9584937,427265161,3976694668,4255079156,0.483090857
AMM,STIFT,RIS,32,295820736,23644760,120950628,9584937,450001061,3856050088,4131109784,0.482781132
AMM,STIFT,RWS,1,0,3735099460,14358817,9584937,3759043214,7470198920,14354897272,0.342275647
AMM,STIFT,RWS,2,32833288,1871045432,14358817,9584937,1927822474,5606144892,8577835524,0.395244827
AMM,STIFT,RWS,4,47111320,935525404,14358817,9584937,1006580478,4670624864,5505420256,0.458982327
AMM,STIFT,RWS,8,82321808,471258404,14358817,9584937,577523966,4206357864,4684397400,0.473115921
AMM,STIFT,RWS,16,151180608,239198632,14358817,9584937,414322994,3974298092,4189454740,0.486822442
AMM,STIFT,RWS,32,293830976,119954484,14358817,9584937,437729214,3855053944,4078382408,0.485924859
AMM,STIFT,ROS,1,0,3735099460,44229185,9584937,3788913582,7470198920,14354897272,0.342275647
AMM,STIFT,ROS,2,0,1871045432,44229185,9584937,1924859554,7470198920,6713781496,0.526664498
AMM,STIFT,ROS,4,0,935525404,44229185,9584937,989339526,7470198920,2705846200,0.734096482
AMM,STIFT,ROS,8,0,471258404,44229185,9584937,525072526,7470198920,1420556344,0.84022096
AMM,STIFT,ROS,16,0,239198632,44229185,9584937,293012754,7470198920,693553912,0.915044719
AMM,STIFT,ROS,32,0,119954484,44229185,9584937,173768606,7470198920,463237432,0.941609485
AMM,PCA,RIS,1,0,23644760,3735099460,9584937,3768329157,7470198920,14354897272,0.342275647
AMM,PCA,RIS,2,0,23644760,1872563512,9584937,1905793209,5607662972,8577810436,0.395310245
AMM,PCA,RIS,4,0,23644760,936281756,9584937,969511453,4671381216,5503806816,0.459095321
AMM,PCA,RIS,8,0,23644760,473154660,9584937,506384357,4208254120,4704854552,0.472142131
AMM,PCA,RIS,16,0,23644760,241595208,9584937,274824905,3976694668,4255079156,0.483090857
AMM,PCA,RIS,32,0,23644760,120950628,9584937,154180325,3856050088,4131109784,0.482781132
AMM,PCA,RWS,1,0,3735099460,14358817,9584937,3759043214,7470198920,14354897272,0.342275647
AMM,PCA,RWS,2,0,1871045432,14358817,9584937,1894989186,5606144892,8577835524,0.395244827
AMM,PCA,RWS,4,0,935525404,14358817,9584937,959469158,4670624864,5505420256,0.458982327
AMM,PCA,RWS,8,0,471258404,14358817,9584937,495202158,4206357864,4684397400,0.473115921
AMM,PCA,RWS,16,0,239198632,14358817,9584937,263142386,3974298092,4189454740,0.486822442
AMM,PCA,RWS,32,0,119954484,14358817,9584937,143898238,3855053944,4078382408,0.485924859
AMM,PCA,ROS,1,0,3735099460,44229185,9584937,3788913582,7470198920,14354897272,0.342275647
AMM,PCA,ROS,2,0,1871045432,44229185,9584937,1924859554,7470198920,6713781496,0.526664498
AMM,PCA,ROS,4,0,935525404,44229185,9584937,989339526,7470198920,2705846200,0.734096482
AMM,PCA,ROS,8,0,471258404,44229185,9584937,525072526,7470198920,1420556344,0.84022096
AMM,PCA,ROS,16,0,239198632,44229185,9584937,293012754,7470198920,693553912,0.915044719
AMM,PCA,ROS,32,0,119954484,44229185,9584937,173768606,7470198920,463237432,0.941609485
AMM,S_Tree,WS,32,285743634,47227588,14358817,9584937,356914976,7470198920,516960952,0.935275998
AMM,S_Tree,OS,32,285743634,47227588,120950628,9584937,463506787,7470198920,516960952,0.935275998
AMM,S_Tree,IS,32,285743634,23644760,120950628,9584937,439923959,7470198920,516960952,0.935275998
AMM,ST_Tree_Ac,WS,32,285743634,47227588,14358817,9584937,356914976,7470198920,516960952,0.935275998
AMM,ST_Tree_Ac,OS,32,285743634,47227588,120950628,9584937,463506787,7470198920,516960952,0.935275998
AMM,ST_Tree_Ac,IS,32,285743634,23644760,120950628,9584937,439923959,7470198920,516960952,0.935275998
AMM,STIFT,WS,32,285743634,47227588,14358817,9584937,356914976,7470198920,516960952,0.935275998
AMM,STIFT,OS,32,285743634,47227588,120950628,9584937,463506787,7470198920,516960952,0.935275998
AMM,STIFT,IS,32,285743634,23644760,120950628,9584937,439923959,7470198920,516960952,0.935275998
AMM,PCA,WS,32,0,47227588,14358817,9584937,71171342,7470198920,516960952,0.935275998
AMM,PCA,OS,32,0,47227588,120950628,9584937,177763153,7470198920,516960952,0.935275998
AMM,PCA,IS,32,0,23644760,120950628,9584937,154180325,7470198920,516960952,0.935275998
