DPU,CNNModel,reduction_network,dataflow,cluster_count,datarate,propagation_latency,input_actuation_latency,weight_actuation_latency,psum_access_latency,input_access_latency,weight_access_latency,output_access_latency,psum_reduction_latency,total_latency
AMW,ShuffleNet_V2,PCA,IS,36,1,1.54E-08,5.93E-06,0.034436,0,0.007220388,0.03004848,0.006351127,0,0.078061943
MAW,ShuffleNet_V2,PCA,IS,43,1,1.09E-08,4.61E-06,0.020592,0,0.007220388,0.025838863,0.006351127,0,0.060006998
AMW,ShuffleNet_V2,PCA,IS,17,5,2.17E-08,4.82E-06,0.09702,0,0.007220388,0.060470399,0.006351127,0,0.171066754
MAW,ShuffleNet_V2,PCA,IS,21,5,1.99E-08,3.68E-06,0.07362,0,0.007220388,0.052336292,0.006351127,0,0.139531508
AMW,ShuffleNet_V2,PCA,IS,12,10,3.25E-08,4.93E-06,0.197344,0,0.007220388,0.085389877,0.006351127,0,0.296310358
MAW,ShuffleNet_V2,PCA,IS,15,10,2.36E-08,2.94E-06,0.117716,0,0.007220388,0.067228311,0.006351127,0,0.198518792
AMW,ShuffleNet_V2,PCA,OS,36,1,1.54E-08,8.61E-06,0.034436,0,0.013399503,0.039287526,0.009977494,0,0.097109147
MAW,ShuffleNet_V2,PCA,OS,43,1,1.09E-08,5.15E-06,0.020592,0,0.010662282,0.033805924,0.009977494,0,0.075042859
AMW,ShuffleNet_V2,PCA,OS,17,5,2.17E-08,4.85E-06,0.09702,0,0.009619138,0.079121325,0.009977494,0,0.195742829
MAW,ShuffleNet_V2,PCA,OS,21,5,1.99E-08,3.68E-06,0.07362,0,0.009396508,0.068455394,0.009977494,0,0.161453097
AMW,ShuffleNet_V2,PCA,OS,12,10,3.25E-08,4.93E-06,0.197344,0,0.009396508,0.111573128,0.009977494,0,0.328296097
MAW,ShuffleNet_V2,PCA,OS,15,10,2.36E-08,2.94E-06,0.117716,0,0.009396508,0.087854501,0.009977494,0,0.22494747
AMW,ShuffleNet_V2,PCA,WS,36,1,1.54E-08,8.61E-06,0.015132,0,0.022941269,0.011365705,0.035290417,0,0.084738016
MAW,ShuffleNet_V2,PCA,WS,43,1,1.09E-08,5.15E-06,0.011908,0,0.016356274,0.011365705,0.035290417,0,0.074925555
AMW,ShuffleNet_V2,PCA,WS,17,5,2.17E-08,4.85E-06,0.02946,0,0.011157878,0.011365705,0.035290417,0,0.087278873
MAW,ShuffleNet_V2,PCA,WS,21,5,1.99E-08,3.68E-06,0.023892,0,0.010772874,0.011365705,0.035290417,0,0.081324697
AMW,ShuffleNet_V2,PCA,WS,12,10,3.25E-08,4.93E-06,0.041708,0,0.010772874,0.011365705,0.035290417,0,0.099141962
MAW,ShuffleNet_V2,PCA,WS,15,10,2.36E-08,2.94E-06,0.033428,0,0.010772874,0.011365705,0.035290417,0,0.090859963
AMW,ShuffleNet_V2,S_Tree,IS,36,1,1.54E-08,5.93E-06,0.034436,0.061583744,0.007220388,0.03004848,0.006351127,0.039899176,0.179544863
MAW,ShuffleNet_V2,S_Tree,IS,43,1,1.09E-08,4.61E-06,0.020592,0.054381156,0.007220388,0.025838863,0.006351127,0.035403345,0.149791498
AMW,ShuffleNet_V2,S_Tree,IS,17,5,2.17E-08,4.82E-06,0.09702,0.118044619,0.007220388,0.060470399,0.006351127,0.070372738,0.359484111
MAW,ShuffleNet_V2,S_Tree,IS,21,5,1.99E-08,3.68E-06,0.07362,0.101196923,0.007220388,0.052336292,0.006351127,0.063990751,0.304719182
AMW,ShuffleNet_V2,S_Tree,IS,12,10,3.25E-08,4.93E-06,0.197344,0.172696636,0.007220388,0.085389877,0.006351127,0.097485154,0.566492148
MAW,ShuffleNet_V2,S_Tree,IS,15,10,2.36E-08,2.94E-06,0.117716,0.13998172,0.007220388,0.067228311,0.006351127,0.083553677,0.422054188
AMW,ShuffleNet_V2,S_Tree,OS,36,1,1.54E-08,8.61E-06,0.034436,0.082739089,0.013399503,0.039287526,0.009977494,0.039899176,0.219747413
MAW,ShuffleNet_V2,S_Tree,OS,43,1,1.09E-08,5.15E-06,0.020592,0.074498541,0.010662282,0.033805924,0.009977494,0.035403345,0.184944745
AMW,ShuffleNet_V2,S_Tree,OS,17,5,2.17E-08,4.85E-06,0.09702,0.154220639,0.009619138,0.079121325,0.009977494,0.070372738,0.420336207
MAW,ShuffleNet_V2,S_Tree,OS,21,5,1.99E-08,3.68E-06,0.07362,0.134496879,0.009396508,0.068455394,0.009977494,0.063990751,0.359940727
AMW,ShuffleNet_V2,S_Tree,OS,12,10,3.25E-08,4.93E-06,0.197344,0.229105803,0.009396508,0.111573128,0.009977494,0.097485154,0.654887054
MAW,ShuffleNet_V2,S_Tree,OS,15,10,2.36E-08,2.94E-06,0.117716,0.185153085,0.009396508,0.087854501,0.009977494,0.083553677,0.493654231
AMW,ShuffleNet_V2,S_Tree,WS,36,1,1.54E-08,8.61E-06,0.015132,0.214473901,0.022941269,0.011365705,0.035290417,0.039899176,0.339111093
MAW,ShuffleNet_V2,S_Tree,WS,43,1,1.09E-08,5.15E-06,0.011908,0.197913227,0.016356274,0.011365705,0.035290417,0.035403345,0.308242127
AMW,ShuffleNet_V2,S_Tree,WS,17,5,2.17E-08,4.85E-06,0.02946,0.375341241,0.011157878,0.011365705,0.035290417,0.070372738,0.532992853
MAW,ShuffleNet_V2,S_Tree,WS,21,5,1.99E-08,3.68E-06,0.023892,0.33984552,0.010772874,0.011365705,0.035290417,0.063990751,0.485160968
AMW,ShuffleNet_V2,S_Tree,WS,12,10,3.25E-08,4.93E-06,0.041708,0.573487855,0.010772874,0.011365705,0.035290417,0.097485154,0.770114971
MAW,ShuffleNet_V2,S_Tree,WS,15,10,2.36E-08,2.94E-06,0.033428,0.464413124,0.010772874,0.011365705,0.035290417,0.083553677,0.638826763
HEANA,ShuffleNet_V2,PCA,OS,73,1,2.09E-08,5.92E-06,0.023684,0,0.029455381,0.023983541,0.009977494,0,0.087106358
HEANA,ShuffleNet_V2,PCA,OS,39,5,1.46E-08,1.52E-06,0.030356,0,0.013622132,0.034895132,0.009977494,0,0.088852291
HEANA,ShuffleNet_V2,PCA,OS,28,10,1.31E-08,9.26E-07,0.037048,0,0.010662282,0.048864248,0.009977494,0,0.106552963
HEANA,ShuffleNet_V2,PCA,WS,73,1,2.09E-08,5.92E-06,0.010908,0,0.062980419,0.011365705,0.035290417,0,0.120550483
HEANA,ShuffleNet_V2,PCA,WS,39,5,1.46E-08,1.52E-06,0.014148,0,0.023326274,0.011365705,0.035290417,0,0.084131928
HEANA,ShuffleNet_V2,PCA,WS,28,10,1.31E-08,9.26E-07,0.018024,0,0.016356274,0.011365705,0.035290417,0,0.081037335
HEANA,ShuffleNet_V2,PCA,IS,73,1,2.09E-08,2.29E-06,0.023684,0,0.007220388,0.018363324,0.006351127,0,0.055621148
HEANA,ShuffleNet_V2,PCA,IS,39,5,1.46E-08,1.04E-06,0.030356,0,0.007220388,0.026556492,0.006351127,0,0.070485058
HEANA,ShuffleNet_V2,PCA,IS,28,10,1.31E-08,8.33E-07,0.037048,0,0.007220388,0.037464957,0.006351127,0,0.088085317
