DPU,reduction_network,dataflow,psum_access_counter,input_access_counter,weight_access_counter,output_access_counter,total_access
AMM,S_Tree,IS,407235734,33849088,206061379,23478569.0,670624770.0
AMM,S_Tree,WS,407235734,77043968,22791425,23478569.0,530549696.0
AMM,S_Tree,OS,407235734,77043968,206061379,23478569.0,713819650.0
AMM,ST_Tree_Ac,IS,407235734,33849088,206061379,23478569.0,670624770.0
AMM,ST_Tree_Ac,WS,407235734,77043968,22791425,23478569.0,530549696.0
AMM,ST_Tree_Ac,OS,407235734,77043968,206061379,23478569.0,713819650.0
AMM,STIFT,IS,407235734,33849088,206061379,23478569.0,670624770.0
AMM,STIFT,WS,407235734,77043968,22791425,23478569.0,530549696.0
AMM,STIFT,OS,407235734,77043968,206061379,23478569.0,713819650.0
AMM,PCA,IS,0,33849088,206061379,23478569.0,263389036.0
AMM,PCA,WS,0,77043968,22791425,23478569.0,123313962.0
AMM,PCA,OS,0,77043968,206061379,23478569.0,306583916.0
MAM,S_Tree,IS,301414266,33849088,148292655,23478569.0,507034578.0
MAM,S_Tree,WS,301414266,77043968,22791425,23478569.0,424728228.0
MAM,S_Tree,OS,301414266,77043968,148292655,23478569.0,550229458.0
MAM,ST_Tree_Ac,IS,301414266,33849088,148292655,23478569.0,507034578.0
MAM,ST_Tree_Ac,WS,301414266,77043968,22791425,23478569.0,424728228.0
MAM,ST_Tree_Ac,OS,301414266,77043968,148292655,23478569.0,550229458.0
MAM,STIFT,IS,301414266,33849088,148292655,23478569.0,507034578.0
MAM,STIFT,WS,301414266,77043968,22791425,23478569.0,424728228.0
MAM,STIFT,OS,301414266,77043968,148292655,23478569.0,550229458.0
MAM,PCA,IS,0,33849088,148292655,23478569.0,205620312.0
MAM,PCA,WS,0,77043968,22791425,23478569.0,123313962.0
MAM,PCA,OS,0,77043968,148292655,23478569.0,248815192.0
AMM,S_Tree,RIS,52443898,33849088,6008351744,23478569.0,6118123299.0
AMM,S_Tree,RWS,52443898,6008351744,22791425,23478569.0,6107065636.0
AMM,S_Tree,ROS,52443898,6008351744,72227861,23478569.0,6156502072.0
AMM,ST_Tree_Ac,RIS,0,33849088,6008351744,23478569.0,6065679401.0
AMM,ST_Tree_Ac,RWS,0,6008351744,22791425,23478569.0,6054621738.0
AMM,ST_Tree_Ac,ROS,0,6008351744,72227861,23478569.0,6104058174.0
