DPU,reduction_network,dataflow,cluster_count,propagation_latency,input_actuation_latency,weight_actuation_latency,psum_access_latency,input_access_latency,weight_access_latency,output_access_latency,psum_reduction_latency,total_latency
AMM,S_Tree,RIS,1,1.5802701333333542e-09,7.999999999999947e-07,0.0032000000000000518,6.658559999992981e-05,2.2195200000000085e-05,0.001065369600000004,1.6646400000000004e-05,0.0,0.004371598380270119
AMM,S_Tree,RIS,2,7.901350666666616e-10,4.000000000000029e-07,0.0016000000000000129,6.658559999998943e-05,2.219520000000008e-05,0.0005326848000000016,1.6646400000000004e-05,0.0,0.002238512790135071
AMM,S_Tree,RIS,4,3.950675333333322e-10,1.9999999999999946e-07,0.0007999999999999982,6.658560000000027e-05,2.2195200000000065e-05,0.00026634240000000055,1.6646400000000004e-05,5.000000000000002e-07,0.0011724699950675325
AMM,S_Tree,RIS,8,1.9753376666666707e-10,9.999999999999989e-08,0.00039999999999999926,6.658560000000027e-05,2.2195200000000034e-05,0.00013317119999999998,1.6646400000000004e-05,6.249999999999995e-07,0.0006393235975337662
AMM,S_Tree,RIS,40,3.950675333333333e-11,2e-08,8.000000000000002e-05,6.658560000000026e-05,2.2195199999999997e-05,2.663424000000001e-05,1.6646400000000004e-05,3.95560584275485e-07,0.0002124770400910291
AMM,S_Tree,RWS,1,1.5170593280000182e-09,7.679999999999957e-07,0.0003839999999999993,0.0006499841630353811,0.010399746608566306,2.599936652141571e-05,0.00016249604075884802,0.0,0.011622995695941279
AMM,S_Tree,RWS,2,7.585296639999952e-10,3.8400000000000254e-07,0.00019199999999999984,0.0006499841630355267,0.005199873304283131,2.59993665214157e-05,0.00016249604075884802,0.0,0.006230737633128585
AMM,S_Tree,RWS,4,3.79264831999999e-10,1.919999999999995e-07,9.600000000000003e-05,0.0006499841630353052,0.002599936652141563,2.5999366521415682e-05,0.00016249604075884802,6e-08,0.0035346686017219643
AMM,S_Tree,RWS,8,1.8963241600000038e-10,9.599999999999991e-08,4.800000000000001e-05,0.00064998416303538,0.0012999683260707846,2.5999366521415682e-05,0.00016249604075884802,7.5e-08,0.0021866190860188443
AMM,S_Tree,RWS,40,6.321080533333334e-11,3.1999999999999995e-08,1.6e-05,0.001083306938392359,0.0004333227753569283,2.5999366521415682e-05,0.00016249604075884802,5.2056058427548494e-08,0.001721209240298784
