DPU,CNNModel,reduction_network,dataflow,cluster_count,propagation_latency,input_actuation_latency,weight_actuation_latency,psum_access_latency,input_access_latency,weight_access_latency,output_access_latency,psum_reduction_latency,total_latency
AMM,GoogLeNet,S_Tree,WS,36,4.603824361798575e-08,2.575799999999013e-05,0.014252000000000594,1.146215729300437,0.13052569857968885,0.042295407353769014,0.07940500858789878,0.07802856460447223,1.49074821246451
AMM,ResNet50,S_Tree,WS,36,1.2062563178554545e-07,6.74890000000655e-05,0.03568799999999959,3.1263424328255955,0.37726056663134494,0.10751633487900866,0.2692222457089867,0.260843546714981,4.176940736385548
AMM,ShuffleNet_V2,S_Tree,WS,36,1.360128217578567e-07,7.609800000008438e-05,0.05081999999998847,3.3408163338679273,0.40020183577770396,0.11888204003093017,0.3045126626952725,0.30074272269127356,4.516051829075918
MAW,GoogLeNet,S_Tree,WS,43,3.699781508866272e-08,1.7482000000000023e-05,0.011788000000000267,1.0126607677411767,0.1209945999164378,0.04229540735376994,0.07940500858789878,0.07457987933441551,1.3417411819315144
MAW,ResNet50,S_Tree,WS,43,8.904279098732305e-08,4.207400000000978e-05,0.027460000000002347,2.7645693184283466,0.31782126109893877,0.10751633487901338,0.26922224570898656,0.23965385675720266,3.726285179915281
MAW,ShuffleNet_V2,S_Tree,WS,43,9.993769729532172e-08,4.722200000002107e-05,0.039367999999996885,2.9624825455742148,0.33417753499463343,0.11888204003094771,0.3045126626952731,0.2750572014137203,4.034527306646484
HEANA,GoogLeNet,PCA,WS,73,7.333371811601135e-08,2.0795999999996062e-05,0.018784000000001196,0.0,0.42451356531085804,0.042295407353769875,0.0794050085878989,0.0,0.5650188505862461
HEANA,ResNet50,PCA,WS,73,1.8662084199553232e-07,5.292200000003357e-05,0.04721199999999112,0.0,1.1346732198329181,0.10751633487902099,0.2692222457089873,0.0,1.5586769090417594
HEANA,ShuffleNet_V2,PCA,WS,73,2.0750028731990024e-07,5.884300000004655e-05,0.05811999999998311,0.0,1.197653638610572,0.11888204003095405,0.3045126626952704,0.0,1.6792273918370668
AMW5,GoogLeNet,S_Tree,WS,17,7.688620920338126e-08,1.7194000000013442e-05,0.0278600000000024,2.398976427652092,0.08742113646105322,0.04229540735376998,0.07940500858789876,0.14325728551055306,2.779232536451579
AMW5,ResNet50,S_Tree,WS,17,1.9037587042707506e-07,4.257360000006909e-05,0.0641039999999815,6.444102693691019,0.2520913827331336,0.10751633487901902,0.2692222457089866,0.4777063902783517,7.614785811266362
AMW5,ShuffleNet_V2,S_Tree,WS,17,2.120680305317694e-07,4.742460000007973e-05,0.09356400000001096,6.819443934971775,0.2632492611275903,0.11888204003096041,0.30451266269527255,0.54807912826479,8.14777866375843
MAW5,GoogLeNet,S_Tree,WS,21,6.030244309836763e-08,1.1143000000000176e-05,0.022600000000001702,1.9583257209963196,0.08742113646104935,0.04229540735377007,0.07940500858789876,0.12462198899201796,2.3146804656935003
MAW5,ResNet50,S_Tree,WS,21,1.477401738375964e-07,2.7300200000035602e-05,0.051535999999987946,5.341183684250757,0.24487224250606138,0.10751633487901831,0.26922224570898656,0.421744671469445,6.436102626754431
MAW5,ShuffleNet_V2,S_Tree,WS,21,1.676605985927367e-07,3.0981200000043674e-05,0.07542799999999282,5.681029204835997,0.25564511644539023,0.11888204003094342,0.3045126626952725,0.4857354225013275,6.921263595369522
HEANA5,GoogLeNet,PCA,WS,39,4.551455394632146e-08,4.720599999998412e-06,0.013968000000000556,0.0,0.1637461831823274,0.04229540735377074,0.07940500858789878,0.0,0.29941936523855145
HEANA5,ResNet50,PCA,WS,39,1.1521046223282285e-07,1.1949200000001944e-05,0.034276000000000625,0.0,0.4200375478335297,0.10751633487902677,0.2692222457089867,0.0,0.8310641928320059
HEANA5,ShuffleNet_V2,PCA,WS,39,1.2984461678520163e-07,1.3467000000005272e-05,0.04842399999999023,0.0,0.4433638214350486,0.1188820400309543,0.30451266269527316,0.0,0.9151961210058831
AMW10,GoogLeNet,S_Tree,WS,12,1.1388937317599053e-07,1.7273300000025746e-05,0.03939999999999686,3.371109709714637,0.08742113646105783,0.04229540735376892,0.07940500858789876,0.18383950745633224,3.8034881567630654
AMW10,ResNet50,S_Tree,WS,12,2.7741368590097684e-07,4.207460000008013e-05,0.08993200000000733,9.136445099195278,0.24487224250617565,0.10751633487900247,0.2692222457089866,0.6249898490990619,10.473020123402199
AMW10,ShuffleNet_V2,S_Tree,WS,12,3.099427690240599e-07,4.7008200000090946e-05,0.13164000000004902,9.709932952380212,0.2556451164452109,0.11888204003091712,0.30451266269527255,0.7224750028666814,11.243135092561111
MAW10,GoogLeNet,S_Tree,WS,15,8.72800239007008e-08,1.0905400000011783e-05,0.0315840000000026,2.704491586416901,0.08742113646100166,0.04229540735377105,0.07940500858789876,0.15530972986912928,3.1005178613687274
MAW10,ResNet50,S_Tree,WS,15,2.136189269467324e-07,2.6691100000046396e-05,0.07207599999998947,7.334644788433108,0.24487224250587789,0.10751633487901952,0.2692222457089866,0.5283003730374067,8.556658889283314
MAW10,ShuffleNet_V2,S_Tree,WS,15,2.3717206413878677e-07,2.963400000005285e-05,0.1055040000000229,7.799057912185466,0.2556451164451465,0.1188820400309499,0.30451266269527255,0.6118540497471561,9.195485652276078
HEANA10,GoogLeNet,PCA,WS,28,5.254127865461341e-08,3.722799999996423e-06,0.017596000000001038,0.0,0.10537371833634628,0.042295407353770825,0.07940500858789878,0.0,0.24467390961929555
HEANA10,ResNet50,PCA,WS,28,1.311852474542081e-07,9.295100000008252e-06,0.041299999999995465,0.0,0.29986302314647556,0.10751633487902554,0.26922224570898656,0.0,0.7179110300197306
HEANA10,ShuffleNet_V2,PCA,WS,28,1.442570569229667e-07,1.0221300000010283e-05,0.059323999999982224,0.0,0.31621929704219126,0.1188820400309678,0.3045126626952726,0.0,0.7989483653254709
